info,timestamp,datetime,symbol,id,order,type,side,takerOrMaker,price,amount,cost,fee,fees,date,date_time
"{'a': '3692246037', 'p': '121332.96000000', 'q': '0.00840000', 'f': '5295178049', 'l': '5295178049', 'T': '1759881600122', 'm': False, 'M': True}",2025-10-08 00:00:00.122,2025-10-08T00:00:00.122Z,BTC/USDT,3692246037,,,buy,,121332.96,0.0084,1019.196864,"{'cost': None, 'currency': None}",[],2025-10-08,2025-10-08_00
"{'a': '3692246038', 'p': '121332.96000000', 'q': '0.51673000', 'f': '5295178050', 'l': '5295178079', 'T': '1759881600122', 'm': False, 'M': True}",2025-10-08 00:00:00.122,2025-10-08T00:00:00.122Z,BTC/USDT,3692246038,,,buy,,121332.96,0.51673,62696.3804208,"{'cost': None, 'currency': None}",[],2025-10-08,2025-10-08_00
"{'a': '3692246039', 'p': '121332.97000000', 'q': '0.00075000', 'f': '5295178080', 'l': '5295178094', 'T': '1759881600122', 'm': False, 'M': True}",2025-10-08 00:00:00.122,2025-10-08T00:00:00.122Z,BTC/USDT,3692246039,,,buy,,121332.97,0.00075,90.9997275,"{'cost': None, 'currency': None}",[],2025-10-08,2025-10-08_00
"{'a': '3692246040', 'p': '121332.99000000', 'q': '0.00005000', 'f': '5295178095', 'l': '5295178095', 'T': '1759881600122', 'm': False, 'M': True}",2025-10-08 00:00:00.122,2025-10-08T00:00:00.122Z,BTC/USDT,3692246040,,,buy,,121332.99,5e-05,6.0666495,"{'cost': None, 'currency': None}",[],2025-10-08,2025-10-08_00
"{'a': '3692246041', 'p': '121333.00000000', 'q': '0.02000000', 'f': '5295178096', 'l': '5295178096', 'T': '1759881600122', 'm': False, 'M': True}",2025-10-08 00:00:00.122,2025-10-08T00:00:00.122Z,BTC/USDT,3692246041,,,buy,,121333.0,0.02,2426.66,"{'cost': None, 'currency': None}",[],2025-10-08,2025-10-08_00
"{'a': '3692246042', 'p': '121333.04000000', 'q': '0.00005000', 'f': '5295178097', 'l': '5295178097', 'T': '1759881600122', 'm': False, 'M': True}",2025-10-08 00:00:00.122,2025-10-08T00:00:00.122Z,BTC/USDT,3692246042,,,buy,,121333.04,5e-05,6.066652,"{'cost': None, 'currency': None}",[],2025-10-08,2025-10-08_00
"{'a': '3692246043', 'p': '121333.05000000', 'q': '0.02000000', 'f': '5295178098', 'l': '5295178098', 'T': '1759881600122', 'm': False, 'M': True}",2025-10-08 00:00:00.122,2025-10-08T00:00:00.122Z,BTC/USDT,3692246043,,,buy,,121333.05,0.02,2426.661,"{'cost': None, 'currency': None}",[],2025-10-08,2025-10-08_00
"{'a': '3692246044', 'p': '121333.56000000', 'q': '0.00165000', 'f': '5295178099', 'l': '5295178099', 'T': '1759881600123', 'm': False, 'M': True}",2025-10-08 00:00:00.123,2025-10-08T00:00:00.123Z,BTC/USDT,3692246044,,,buy,,121333.56,0.00165,200.200374,"{'cost': None, 'currency': None}",[],2025-10-08,2025-10-08_00
"{'a': '3692246045', 'p': '121335.48000000', 'q': '0.00005000', 'f': '5295178100', 'l': '5295178100', 'T': '1759881600123', 'm': False, 'M': True}",2025-10-08 00:00:00.123,2025-10-08T00:00:00.123Z,BTC/USDT,3692246045,,,buy,,121335.48,5e-05,6.066774,"{'cost': None, 'currency': None}",[],2025-10-08,2025-10-08_00
"{'a': '3692246046', 'p': '121335.79000000', 'q': '0.00005000', 'f': '5295178101', 'l': '5295178101', 'T': '1759881600123', 'm': False, 'M': True}",2025-10-08 00:00:00.123,2025-10-08T00:00:00.123Z,BTC/USDT,3692246046,,,buy,,121335.79,5e-05,6.0667895,"{'cost': None, 'currency': None}",[],2025-10-08,2025-10-08_00
"{'a': '3692246047', 'p': '121335.80000000', 'q': '0.02473000', 'f': '5295178102', 'l': '5295178102', 'T': '1759881600123', 'm': False, 'M': True}",2025-10-08 00:00:00.123,2025-10-08T00:00:00.123Z,BTC/USDT,3692246047,,,buy,,121335.8,0.02473,3000.634334,"{'cost': None, 'currency': None}",[],2025-10-08,2025-10-08_00
"{'a': '3692246048', 'p': '121336.19000000', 'q': '0.00005000', 'f': '5295178103', 'l': '5295178103', 'T': '1759881600124', 'm': False, 'M': True}",2025-10-08 00:00:00.124,2025-10-08T00:00:00.124Z,BTC/USDT,3692246048,,,buy,,121336.19,5e-05,6.0668095,"{'cost': None, 'currency': None}",[],2025-10-08,2025-10-08_00
"{'a': '3692246049', 'p': '121336.21000000', 'q': '0.00485000', 'f': '5295178104', 'l': '5295178105', 'T': '1759881600124', 'm': False, 'M': True}",2025-10-08 00:00:00.124,2025-10-08T00:00:00.124Z,BTC/USDT,3692246049,,,buy,,121336.21,0.00485,588.4806185,"{'cost': None, 'currency': None}",[],2025-10-08,2025-10-08_00
"{'a': '3692246050', 'p': '121336.95000000', 'q': '0.00005000', 'f': '5295178106', 'l': '5295178106', 'T': '1759881600124', 'm': False, 'M': True}",2025-10-08 00:00:00.124,2025-10-08T00:00:00.124Z,BTC/USDT,3692246050,,,buy,,121336.95,5e-05,6.0668475,"{'cost': None, 'currency': None}",[],2025-10-08,2025-10-08_00
"{'a': '3692246051', 'p': '121336.96000000', 'q': '0.04064000', 'f': '5295178107', 'l': '5295178107', 'T': '1759881600124', 'm': False, 'M': True}",2025-10-08 00:00:00.124,2025-10-08T00:00:00.124Z,BTC/USDT,3692246051,,,buy,,121336.96,0.04064,4931.1340544,"{'cost': None, 'currency': None}",[],2025-10-08,2025-10-08_00
"{'a': '3692246052', 'p': '121336.96000000', 'q': '0.00859000', 'f': '5295178108', 'l': '5295178117', 'T': '1759881600132', 'm': False, 'M': True}",2025-10-08 00:00:00.132,2025-10-08T00:00:00.132Z,BTC/USDT,3692246052,,,buy,,121336.96,0.00859,1042.2844864,"{'cost': None, 'currency': None}",[],2025-10-08,2025-10-08_00
"{'a': '3692246053', 'p': '121336.96000000', 'q': '0.00859000', 'f': '5295178118', 'l': '5295178118', 'T': '1759881600132', 'm': False, 'M': True}",2025-10-08 00:00:00.132,2025-10-08T00:00:00.132Z,BTC/USDT,3692246053,,,buy,,121336.96,0.00859,1042.2844864,"{'cost': None, 'currency': None}",[],2025-10-08,2025-10-08_00
"{'a': '3692246054', 'p': '121336.96000000', 'q': '0.00859000', 'f': '5295178119', 'l': '5295178119', 'T': '1759881600132', 'm': False, 'M': True}",2025-10-08 00:00:00.132,2025-10-08T00:00:00.132Z,BTC/USDT,3692246054,,,buy,,121336.96,0.00859,1042.2844864,"{'cost': None, 'currency': None}",[],2025-10-08,2025-10-08_00
"{'a': '3692246055', 'p': '121336.96000000', 'q': '0.00859000', 'f': '5295178120', 'l': '5295178120', 'T': '1759881600132', 'm': False, 'M': True}",2025-10-08 00:00:00.132,2025-10-08T00:00:00.132Z,BTC/USDT,3692246055,,,buy,,121336.96,0.00859,1042.2844864,"{'cost': None, 'currency': None}",[],2025-10-08,2025-10-08_00
"{'a': '3692246056', 'p': '121336.96000000', 'q': '0.04156000', 'f': '5295178121', 'l': '5295178121', 'T': '1759881600135', 'm': False, 'M': True}",2025-10-08 00:00:00.135,2025-10-08T00:00:00.135Z,BTC/USDT,3692246056,,,buy,,121336.96,0.04156,5042.7640576,"{'cost': None, 'currency': None}",[],2025-10-08,2025-10-08_00
"{'a': '3692246057', 'p': '121336.96000000', 'q': '0.00017000', 'f': '5295178122', 'l': '5295178122', 'T': '1759881600136', 'm': False, 'M': True}",2025-10-08 00:00:00.136,2025-10-08T00:00:00.136Z,BTC/USDT,3692246057,,,buy,,121336.96,0.00017,20.6272832,"{'cost': None, 'currency': None}",[],2025-10-08,2025-10-08_00
"{'a': '3692246058', 'p': '121336.96000000', 'q': '0.00140000', 'f': '5295178123', 'l': '5295178130', 'T': '1759881600414', 'm': False, 'M': True}",2025-10-08 00:00:00.414,2025-10-08T00:00:00.414Z,BTC/USDT,3692246058,,,buy,,121336.96,0.0014,169.871744,"{'cost': None, 'currency': None}",[],2025-10-08,2025-10-08_00
"{'a': '3692246059', 'p': '121336.95000000', 'q': '0.00081000', 'f': '5295178131', 'l': '5295178131', 'T': '1759881600502', 'm': True, 'M': True}",2025-10-08 00:00:00.502,2025-10-08T00:00:00.502Z,BTC/USDT,3692246059,,,sell,,121336.95,0.00081,98.2829295,"{'cost': None, 'currency': None}",[],2025-10-08,2025-10-08_00
"{'a': '3692246060', 'p': '121336.95000000', 'q': '0.00015000', 'f': '5295178132', 'l': '5295178132', 'T': '1759881600578', 'm': True, 'M': True}",2025-10-08 00:00:00.578,2025-10-08T00:00:00.578Z,BTC/USDT,3692246060,,,sell,,121336.95,0.00015,18.2005425,"{'cost': None, 'currency': None}",[],2025-10-08,2025-10-08_00
"{'a': '3692246061', 'p': '121336.96000000', 'q': '0.01467000', 'f': '5295178133', 'l': '5295178134', 'T': '1759881600664', 'm': False, 'M': True}",2025-10-08 00:00:00.664,2025-10-08T00:00:00.664Z,BTC/USDT,3692246061,,,buy,,121336.96,0.01467,1780.0132032,"{'cost': None, 'currency': None}",[],2025-10-08,2025-10-08_00
"{'a': '3692246062', 'p': '121336.96000000', 'q': '0.00006000', 'f': '5295178135', 'l': '5295178135', 'T': '1759881600714', 'm': False, 'M': True}",2025-10-08 00:00:00.714,2025-10-08T00:00:00.714Z,BTC/USDT,3692246062,,,buy,,121336.96,6e-05,7.2802176,"{'cost': None, 'currency': None}",[],2025-10-08,2025-10-08_00
"{'a': '3692246063', 'p': '121336.96000000', 'q': '0.08275000', 'f': '5295178136', 'l': '5295178151', 'T': '1759881600826', 'm': False, 'M': True}",2025-10-08 00:00:00.826,2025-10-08T00:00:00.826Z,BTC/USDT,3692246063,,,buy,,121336.96,0.08275,10040.63344,"{'cost': None, 'currency': None}",[],2025-10-08,2025-10-08_00
"{'a': '3692246064', 'p': '121336.97000000', 'q': '0.00085000', 'f': '5295178152', 'l': '5295178168', 'T': '1759881600826', 'm': False, 'M': True}",2025-10-08 00:00:00.826,2025-10-08T00:00:00.826Z,BTC/USDT,3692246064,,,buy,,121336.97,0.00085,103.1364245,"{'cost': None, 'currency': None}",[],2025-10-08,2025-10-08_00
"{'a': '3692246065', 'p': '121337.74000000', 'q': '0.00050000', 'f': '5295178169', 'l': '5295178178', 'T': '1759881600828', 'm': False, 'M': True}",2025-10-08 00:00:00.828,2025-10-08T00:00:00.828Z,BTC/USDT,3692246065,,,buy,,121337.74,0.0005,60.66887,"{'cost': None, 'currency': None}",[],2025-10-08,2025-10-08_00
"{'a': '3692246066', 'p': '121337.75000000', 'q': '0.00060000', 'f': '5295178179', 'l': '5295178190', 'T': '1759881600828', 'm': False, 'M': True}",2025-10-08 00:00:00.828,2025-10-08T00:00:00.828Z,BTC/USDT,3692246066,,,buy,,121337.75,0.0006,72.80265,"{'cost': None, 'currency': None}",[],2025-10-08,2025-10-08_00
"{'a': '3692246067', 'p': '121338.18000000', 'q': '0.04185000', 'f': '5295178191', 'l': '5295178205', 'T': '1759881600915', 'm': False, 'M': True}",2025-10-08 00:00:00.915,2025-10-08T00:00:00.915Z,BTC/USDT,3692246067,,,buy,,121338.18,0.04185,5078.002833,"{'cost': None, 'currency': None}",[],2025-10-08,2025-10-08_00
"{'a': '3692246068', 'p': '121338.19000000', 'q': '0.00075000', 'f': '5295178206', 'l': '5295178220', 'T': '1759881600915', 'm': False, 'M': True}",2025-10-08 00:00:00.915,2025-10-08T00:00:00.915Z,BTC/USDT,3692246068,,,buy,,121338.19,0.00075,91.0036425,"{'cost': None, 'currency': None}",[],2025-10-08,2025-10-08_00
"{'a': '3692246069', 'p': '121338.95000000', 'q': '0.00005000', 'f': '5295178221', 'l': '5295178221', 'T': '1759881600915', 'm': False, 'M': True}",2025-10-08 00:00:00.915,2025-10-08T00:00:00.915Z,BTC/USDT,3692246069,,,buy,,121338.95,5e-05,6.0669475,"{'cost': None, 'currency': None}",[],2025-10-08,2025-10-08_00
"{'a': '3692246070', 'p': '121340.00000000', 'q': '0.00005000', 'f': '5295178222', 'l': '5295178222', 'T': '1759881600915', 'm': False, 'M': True}",2025-10-08 00:00:00.915,2025-10-08T00:00:00.915Z,BTC/USDT,3692246070,,,buy,,121340.0,5e-05,6.067,"{'cost': None, 'currency': None}",[],2025-10-08,2025-10-08_00
